Week,Instance_name,Machines,Jobs,Workers,DSL,SLB,LB,1st_solution,Iterations,2nd_step,Total_sol,Energy_cons,Gap,Time,J_geq_49.5
1,1-Machines4-Work5-DSTL4500-SLB30,4,36,5,4500,30,28523.00325,28538.93209,3,30757.26,30757.26,13996.2075,7.833174948,0.89097929,0
1,1-Machines4-Work5-DSTL6000-SLB30,4,36,5,6000,30,28523.00325,28538.93209,3,30757.26,30757.26,13996.2075,7.833174948,0.923963308,0
1,1-Machines4-Work1-DSTL3000-SLB50,4,36,1,3000,50,28524.81703,28551.9103,2,30632.52,31322.469,13993.34375,9.807782333,0.45112586,0
1,1-Machines4-Work1-DSTL4500-SLB50,4,36,1,4500,50,28524.81703,28551.9103,2,30632.52,31322.469,13993.34375,9.807782333,0.512624979,0
1,1-Machines4-Work1-DSTL6000-SLB50,4,36,1,6000,50,28524.81703,28551.9103,2,30632.52,31322.469,13993.34375,9.807782333,0.449947357,0
1,1-Machines4-Work3-DSTL3000-SLB50,4,36,3,3000,50,28524.81703,28551.9103,2,30632.52,30632.52,14032.66875,7.389014846,0.542364359,0
1,1-Machines4-Work3-DSTL4500-SLB50,4,36,3,4500,50,28524.81703,28551.9103,2,30632.52,30632.52,14032.66875,7.389014846,0.550905704,0
1,1-Machines4-Work3-DSTL6000-SLB50,4,36,3,6000,50,28524.81703,28551.9103,2,30632.52,30632.52,14032.66875,7.389014846,0.56977272,0
1,1-Machines4-Work5-DSTL3000-SLB50,4,36,5,3000,50,28524.81703,28551.9103,2,30632.52,30632.52,14032.66875,7.389014846,0.626467705,0
1,1-Machines4-Work5-DSTL4500-SLB50,4,36,5,4500,50,28524.81703,28551.9103,2,30632.52,30632.52,14032.66875,7.389014846,0.614249229,0
1,1-Machines4-Work5-DSTL6000-SLB50,4,36,5,6000,50,28524.81703,28551.9103,2,30632.52,30632.52,14032.66875,7.389014846,0.576213598,0
1,1-Machines4-Work1-DSTL3000-SLB70,4,36,1,3000,70,28516.82601,28595.74106,2,30752.43,31713.719,14009.80625,11.21054984,0.395365,0
1,1-Machines4-Work1-DSTL4500-SLB70,4,36,1,4500,70,28516.82601,28595.74106,2,30752.43,31713.719,14009.80625,11.21054984,0.577370644,0
1,1-Machines4-Work1-DSTL6000-SLB70,4,36,1,6000,70,28516.82601,28595.74106,2,30752.43,31713.719,14009.80625,11.21054984,0.741545916,0
1,1-Machines4-Work3-DSTL3000-SLB70,4,36,3,3000,70,28516.82601,28595.74106,2,30752.43,30752.43,14009.80625,7.839596142,0.827099562,0
1,1-Machines4-Work3-DSTL4500-SLB70,4,36,3,4500,70,28516.82601,28595.74106,2,30752.43,30752.43,14009.80625,7.839596142,0.669599056,0
1,1-Machines4-Work3-DSTL6000-SLB70,4,36,3,6000,70,28516.82601,28595.74106,2,30752.43,30752.43,14009.80625,7.839596142,0.89337945,0
1,1-Machines4-Work5-DSTL3000-SLB70,4,36,5,3000,70,28516.82601,28595.74106,2,30752.43,30752.43,14009.80625,7.839596142,0.738075495,0
1,1-Machines4-Work5-DSTL4500-SLB70,4,36,5,4500,70,28516.82601,28595.74106,2,30752.43,30752.43,14009.80625,7.839596142,0.859867573,0
1,1-Machines4-Work5-DSTL6000-SLB70,4,36,5,6000,70,28516.82601,28595.74106,2,30752.43,30752.43,14009.80625,7.839596142,0.718037128,0
1,1-Machines6-Work1-DSTL3000-SLB30,6,36,1,3000,30,18776.44418,18796.56913,5,20476.57,21863.559,13822.97375,16.44142412,1.644619226,0
1,1-Machines6-Work1-DSTL4500-SLB30,6,36,1,4500,30,18776.44418,18796.56913,5,20476.57,21863.559,13822.97375,16.44142412,1.424724817,0
1,1-Machines6-Work1-DSTL6000-SLB30,6,36,1,6000,30,18776.44418,18796.56913,5,20476.57,21863.559,13822.97375,16.44142412,1.457567453,0
1,1-Machines6-Work3-DSTL3000-SLB30,6,36,3,3000,30,18776.44418,18796.56913,5,20476.57,20476.57,13803.06625,9.054567555,1.614128828,0
1,1-Machines6-Work3-DSTL4500-SLB30,6,36,3,4500,30,18776.44418,18796.56913,5,20476.57,20476.57,13803.06625,9.054567555,2.058622599,0
1,1-Machines6-Work3-DSTL6000-SLB30,6,36,3,6000,30,18776.44418,18796.56913,5,20476.57,20476.57,13803.06625,9.054567555,1.955636024,0
1,1-Machines6-Work5-DSTL3000-SLB30,6,36,5,3000,30,18776.44418,18796.56913,5,20476.57,20476.57,13803.06625,9.054567555,2.135909081,0
1,1-Machines6-Work5-DSTL4500-SLB30,6,36,5,4500,30,18776.44418,18796.56913,5,20476.57,20476.57,13803.06625,9.054567555,2.164448023,0
1,1-Machines6-Work5-DSTL6000-SLB30,6,36,5,6000,30,18776.44418,18796.56913,5,20476.57,20476.57,13803.06625,9.054567555,2.09914732,0
1,1-Machines6-Work1-DSTL3000-SLB50,6,36,1,3000,50,18776.5692,18797.6223,5,20597.62,21728.789,13822.585,15.72289255,2.345269203,0
1,1-Machines6-Work1-DSTL4500-SLB50,6,36,1,4500,50,18776.5692,18797.6223,5,20597.62,21728.789,13822.585,15.72289255,2.500780821,0
1,1-Machines6-Work1-DSTL6000-SLB50,6,36,1,6000,50,18776.5692,18797.6223,5,20597.62,21728.789,13822.585,15.72289255,2.40880084,0
1,1-Machines6-Work3-DSTL3000-SLB50,6,36,3,3000,50,18776.5692,18797.6223,5,20597.62,20597.62,13803.7225,9.698527889,3.020772457,0
1,1-Machines6-Work3-DSTL4500-SLB50,6,36,3,4500,50,18776.5692,18797.6223,5,20597.62,20597.62,13803.7225,9.698527889,3.432811022,0
1,1-Machines6-Work3-DSTL6000-SLB50,6,36,3,6000,50,18776.5692,18797.6223,5,20597.62,20597.62,13803.7225,9.698527889,3.461531162,0
1,1-Machines6-Work5-DSTL3000-SLB50,6,36,5,3000,50,18776.5692,18797.6223,5,20597.62,20597.62,13803.7225,9.698527889,3.666068792,0
1,1-Machines6-Work5-DSTL4500-SLB50,6,36,5,4500,50,18776.5692,18797.6223,5,20597.62,20597.62,13803.7225,9.698527889,3.494217157,0
1,1-Machines6-Work5-DSTL6000-SLB50,6,36,5,6000,50,18776.5692,18797.6223,5,20597.62,20597.62,13803.7225,9.698527889,3.697323322,0
1,1-Machines6-Work1-DSTL3000-SLB70,6,36,1,3000,70,18777.68528,18812.7606,6,20612.76,21127.399,13810.44125,12.51332996,3.057536125,0
1,1-Machines6-Work1-DSTL4500-SLB70,6,36,1,4500,70,18777.68528,18812.7606,6,20612.76,21127.399,13810.44125,12.51332996,3.906152248,0
1,1-Machines6-Work1-DSTL6000-SLB70,6,36,1,6000,70,18777.68528,18812.7606,6,20612.76,21127.399,13810.44125,12.51332996,3.214038134,0
1,1-Machines6-Work3-DSTL3000-SLB70,6,36,3,3000,70,18777.68528,18812.7606,6,20612.76,20612.76,13810.44125,9.772635398,3.661474943,0
1,1-Machines6-Work3-DSTL4500-SLB70,6,36,3,4500,70,18777.68528,18812.7606,6,20612.76,20612.76,13810.44125,9.772635398,3.417919397,0
1,1-Machines6-Work3-DSTL6000-SLB70,6,36,3,6000,70,18777.68528,18812.7606,6,20612.76,20612.76,13810.44125,9.772635398,4.312431097,0
1,1-Machines6-Work5-DSTL3000-SLB70,6,36,5,3000,70,18777.68528,18812.7606,6,20612.76,20612.76,13810.44125,9.772635398,3.958066702,0
1,1-Machines6-Work5-DSTL4500-SLB70,6,36,5,4500,70,18777.68528,18812.7606,6,20612.76,20612.76,13810.44125,9.772635398,3.607279539,0
1,1-Machines6-Work5-DSTL6000-SLB70,6,36,5,6000,70,18777.68528,18812.7606,6,20612.76,20612.76,13810.44125,9.772635398,3.392929554,0
1,1-Machines8-Work1-DSTL3000-SLB30,8,36,1,3000,30,13983.0564,14010.45698,7,15039.77,16206.919,13695.46,15.90398076,10.83543396,0
1,1-Machines8-Work1-DSTL4500-SLB30,8,36,1,4500,30,13983.0564,14010.45698,7,15039.77,16206.919,13695.46,15.90398076,8.929249287,0
1,1-Machines8-Work1-DSTL6000-SLB30,8,36,1,6000,30,13983.0564,14010.45698,7,15039.77,16206.919,13695.46,15.90398076,10.39682579,0
1,1-Machines8-Work3-DSTL3000-SLB30,8,36,3,3000,30,13983.0564,14010.45698,7,15039.77,15159.789,13739.195,8.415417671,11.51153398,0
1,1-Machines8-Work3-DSTL4500-SLB30,8,36,3,4500,30,13983.0564,14010.45698,7,15039.77,15159.789,13739.195,8.415417671,11.01630282,0
1,1-Machines8-Work3-DSTL6000-SLB30,8,36,3,6000,30,13983.0564,14010.45698,7,15039.77,15159.789,13739.195,8.415417671,12.46196604,0
1,1-Machines8-Work5-DSTL3000-SLB30,8,36,5,3000,30,13983.0564,14010.45698,7,15039.77,15099.779,13739.195,7.986255417,11.4474225,0
1,1-Machines8-Work5-DSTL4500-SLB30,8,36,5,4500,30,13983.0564,14010.45698,7,15039.77,15099.779,13739.195,7.986255417,11.84387159,0
1,1-Machines8-Work5-DSTL6000-SLB30,8,36,5,6000,30,13983.0564,14010.45698,7,15039.77,15099.779,13739.195,7.986255417,11.1325376,0
1,1-Machines8-Work1-DSTL3000-SLB50,8,36,1,3000,50,13983.1865,14042.14412,6,15020.96,16256.819,13756.1525,16.25975955,5.747512341,0
1,1-Machines8-Work1-DSTL4500-SLB50,8,36,1,4500,50,13983.1865,14042.14412,6,15020.96,16256.819,13756.1525,16.25975955,5.487929821,0
1,1-Machines8-Work1-DSTL6000-SLB50,8,36,1,6000,50,13983.1865,14042.14412,6,15020.96,16256.819,13756.1525,16.25975955,4.978899479,0
1,1-Machines8-Work3-DSTL3000-SLB50,8,36,3,3000,50,13983.1865,14042.14412,6,15020.96,15078.089,13756.1525,7.830135868,6.27661252,0
1,1-Machines8-Work3-DSTL4500-SLB50,8,36,3,4500,50,13983.1865,14042.14412,6,15020.96,15078.089,13756.1525,7.830135868,6.173386335,0
1,1-Machines8-Work3-DSTL6000-SLB50,8,36,3,6000,50,13983.1865,14042.14412,6,15020.96,15078.089,13756.1525,7.830135868,6.459633589,0
1,1-Machines8-Work5-DSTL3000-SLB50,8,36,5,3000,50,13983.1865,14042.14412,6,15020.96,15078.089,13756.1525,7.830135868,6.565745115,0
1,1-Machines8-Work5-DSTL4500-SLB50,8,36,5,4500,50,13983.1865,14042.14412,6,15020.96,15078.089,13756.1525,7.830135868,7.065591812,0
1,1-Machines8-Work5-DSTL6000-SLB50,8,36,5,6000,50,13983.1865,14042.14412,6,15020.96,15078.089,13756.1525,7.830135868,8.598291874,0
1,1-Machines8-Work1-DSTL3000-SLB70,8,36,1,3000,70,13981.8386,14020.48955,7,15135.39,16334.699,13726.24,16.8279757,11.91257858,0
1,1-Machines8-Work1-DSTL4500-SLB70,8,36,1,4500,70,13981.8386,14020.48955,7,15135.39,16334.699,13726.24,16.8279757,11.49098897,0
1,1-Machines8-Work1-DSTL6000-SLB70,8,36,1,6000,70,13981.8386,14020.48955,7,15135.39,16334.699,13726.24,16.8279757,12.00679398,0
1,1-Machines8-Work3-DSTL3000-SLB70,8,36,3,3000,70,13981.8386,14020.48955,7,15135.39,15135.39,13726.24,8.25035559,12.34058094,0
1,1-Machines8-Work3-DSTL4500-SLB70,8,36,3,4500,70,13981.8386,14020.48955,7,15135.39,15135.39,13726.24,8.25035559,11.87725902,0
1,1-Machines8-Work3-DSTL6000-SLB70,8,36,3,6000,70,13981.8386,14020.48955,7,15135.39,15135.39,13726.24,8.25035559,12.17713261,0
1,1-Machines8-Work5-DSTL3000-SLB70,8,36,5,3000,70,13981.8386,14020.48955,7,15135.39,15135.39,13726.24,8.25035559,11.12590623,0
1,1-Machines8-Work5-DSTL4500-SLB70,8,36,5,4500,70,13981.8386,14020.48955,7,15135.39,15135.39,13726.24,8.25035559,8.791577578,0
1,1-Machines8-Work5-DSTL6000-SLB70,8,36,5,6000,70,13981.8386,14020.48955,7,15135.39,15135.39,13726.24,8.25035559,8.986046076,0
2,2-Machines2-Work1-DSTL3000-SLB30,2,27,1,3000,30,38589.61577,38643.80941,1,41115.42,41115.42,9452.40375,6.545295087,0.128344774,0
2,2-Machines2-Work1-DSTL4500-SLB30,2,27,1,4500,30,38589.61577,38643.80941,1,41115.42,41115.42,9452.40375,6.545295087,0.129636049,0
2,2-Machines2-Work1-DSTL6000-SLB30,2,27,1,6000,30,38589.61577,38643.80941,1,41115.42,41115.42,9452.40375,6.545295087,0.129801035,0
2,2-Machines2-Work3-DSTL3000-SLB30,2,27,3,3000,30,38589.61577,38643.80941,1,41115.42,41115.42,9452.40375,6.545295087,0.150338173,0
2,2-Machines2-Work3-DSTL4500-SLB30,2,27,3,4500,30,38589.61577,38643.80941,1,41115.42,41115.42,9452.40375,6.545295087,0.15294838,0
2,2-Machines2-Work3-DSTL6000-SLB30,2,27,3,6000,30,38589.61577,38643.80941,1,41115.42,41115.42,9452.40375,6.545295087,0.15092802,0
2,2-Machines2-Work5-DSTL3000-SLB30,2,27,5,3000,30,38589.61577,38643.80941,1,41115.42,41115.42,9452.40375,6.545295087,0.1761415,0
2,2-Machines2-Work5-DSTL4500-SLB30,2,27,5,4500,30,38589.61577,38643.80941,1,41115.42,41115.42,9452.40375,6.545295087,0.198918581,0
2,2-Machines2-Work5-DSTL6000-SLB30,2,27,5,6000,30,38589.61577,38643.80941,1,41115.42,41115.42,9452.40375,6.545295087,0.176266909,0
2,2-Machines2-Work1-DSTL3000-SLB50,2,27,1,3000,50,38589.61577,38643.80941,1,41115.42,41115.42,9452.40375,6.545295087,0.128959656,0
2,2-Machines2-Work1-DSTL4500-SLB50,2,27,1,4500,50,38589.61577,38643.80941,1,41115.42,41115.42,9452.40375,6.545295087,0.129834414,0
2,2-Machines2-Work1-DSTL6000-SLB50,2,27,1,6000,50,38589.61577,38643.80941,1,41115.42,41115.42,9452.40375,6.545295087,0.129027367,0
2,2-Machines2-Work3-DSTL3000-SLB50,2,27,3,3000,50,38589.61577,38643.80941,1,41115.42,41115.42,9452.40375,6.545295087,0.153918743,0
2,2-Machines2-Work3-DSTL4500-SLB50,2,27,3,4500,50,38589.61577,38643.80941,1,41115.42,41115.42,9452.40375,6.545295087,0.154023647,0
2,2-Machines2-Work3-DSTL6000-SLB50,2,27,3,6000,50,38589.61577,38643.80941,1,41115.42,41115.42,9452.40375,6.545295087,0.154536963,0
2,2-Machines2-Work5-DSTL3000-SLB50,2,27,5,3000,50,38589.61577,38643.80941,1,41115.42,41115.42,9452.40375,6.545295087,0.179397821,0
2,2-Machines2-Work5-DSTL4500-SLB50,2,27,5,4500,50,38589.61577,38643.80941,1,41115.42,41115.42,9452.40375,6.545295087,0.201828718,0
2,2-Machines2-Work5-DSTL6000-SLB50,2,27,5,6000,50,38589.61577,38643.80941,1,41115.42,41115.42,9452.40375,6.545295087,0.179594755,0
2,2-Machines2-Work1-DSTL3000-SLB70,2,27,1,3000,70,38589.61577,38643.80941,1,41115.42,41115.42,9452.40375,6.545295087,0.130173445,0
2,2-Machines2-Work1-DSTL4500-SLB70,2,27,1,4500,70,38589.61577,38643.80941,1,41115.42,41115.42,9452.40375,6.545295087,0.129971981,0
2,2-Machines2-Work1-DSTL6000-SLB70,2,27,1,6000,70,38589.61577,38643.80941,1,41115.42,41115.42,9452.40375,6.545295087,0.131398201,0
2,2-Machines2-Work3-DSTL3000-SLB70,2,27,3,3000,70,38589.61577,38643.80941,1,41115.42,41115.42,9452.40375,6.545295087,0.155285597,0
2,2-Machines2-Work3-DSTL4500-SLB70,2,27,3,4500,70,38589.61577,38643.80941,1,41115.42,41115.42,9452.40375,6.545295087,0.155183315,0
2,2-Machines2-Work3-DSTL6000-SLB70,2,27,3,6000,70,38589.61577,38643.80941,1,41115.42,41115.42,9452.40375,6.545295087,0.156714916,0
2,2-Machines2-Work5-DSTL3000-SLB70,2,27,5,3000,70,38589.61577,38643.80941,1,41115.42,41115.42,9452.40375,6.545295087,0.206454515,0
2,2-Machines2-Work5-DSTL4500-SLB70,2,27,5,4500,70,38589.61577,38643.80941,1,41115.42,41115.42,9452.40375,6.545295087,0.181653738,0
2,2-Machines2-Work5-DSTL6000-SLB70,2,27,5,6000,70,38589.61577,38643.80941,1,41115.42,41115.42,9452.40375,6.545295087,0.181287766,0
2,2-Machines4-Work1-DSTL3000-SLB30,4,27,1,3000,30,17668.75042,17688.30931,3,19148.12,19681.549,8640.35375,11.39185587,0.547660828,0
2,2-Machines4-Work1-DSTL4500-SLB30,4,27,1,4500,30,17668.75042,17688.30931,3,19148.12,19681.549,8640.35375,11.39185587,0.501434565,0
2,2-Machines4-Work1-DSTL6000-SLB30,4,27,1,6000,30,17668.75042,17688.30931,3,19148.12,19681.549,8640.35375,11.39185587,0.523280859,0
2,2-Machines4-Work3-DSTL3000-SLB30,4,27,3,3000,30,17668.75042,17688.30931,3,19148.12,19148.12,8630.555,8.37280253,0.602142334,0
2,2-Machines4-Work3-DSTL4500-SLB30,4,27,3,4500,30,17668.75042,17688.30931,3,19148.12,19148.12,8630.555,8.37280253,0.717557907,0
2,2-Machines4-Work3-DSTL6000-SLB30,4,27,3,6000,30,17668.75042,17688.30931,3,19148.12,19148.12,8630.555,8.37280253,0.676267624,0
2,2-Machines4-Work5-DSTL3000-SLB30,4,27,5,3000,30,17668.75042,17688.30931,3,19148.12,19148.12,8630.555,8.37280253,0.822616577,0
2,2-Machines4-Work5-DSTL4500-SLB30,4,27,5,4500,30,17668.75042,17688.30931,3,19148.12,19148.12,8630.555,8.37280253,0.847620487,0
2,2-Machines4-Work5-DSTL6000-SLB30,4,27,5,6000,30,17668.75042,17688.30931,3,19148.12,19148.12,8630.555,8.37280253,0.761081934,0
2,2-Machines4-Work1-DSTL3000-SLB50,4,27,1,3000,50,17669.98807,17721.94587,3,18998.35,20125.329,8630.78625,13.89554377,0.667933464,0
2,2-Machines4-Work1-DSTL4500-SLB50,4,27,1,4500,50,17669.98807,17721.94587,3,18998.35,20125.329,8630.78625,13.89554377,0.58541131,0
2,2-Machines4-Work1-DSTL6000-SLB50,4,27,1,6000,50,17669.98807,17721.94587,3,18998.35,20125.329,8630.78625,13.89554377,0.595173597,0
2,2-Machines4-Work3-DSTL3000-SLB50,4,27,3,3000,50,17669.98807,17721.94587,3,18998.35,18998.35,8651.675,7.517616431,0.633566856,0
2,2-Machines4-Work3-DSTL4500-SLB50,4,27,3,4500,50,17669.98807,17721.94587,3,18998.35,18998.35,8651.675,7.517616431,0.671942472,0
2,2-Machines4-Work3-DSTL6000-SLB50,4,27,3,6000,50,17669.98807,17721.94587,3,18998.35,18998.35,8651.675,7.517616431,0.631988764,0
2,2-Machines4-Work5-DSTL3000-SLB50,4,27,5,3000,50,17669.98807,17721.94587,3,18998.35,18998.35,8651.675,7.517616431,0.789555788,0
2,2-Machines4-Work5-DSTL4500-SLB50,4,27,5,4500,50,17669.98807,17721.94587,3,18998.35,18998.35,8651.675,7.517616431,0.788179636,0
2,2-Machines4-Work5-DSTL6000-SLB50,4,27,5,6000,50,17669.98807,17721.94587,3,18998.35,18998.35,8651.675,7.517616431,0.770880461,0
2,2-Machines4-Work1-DSTL3000-SLB70,4,27,1,3000,70,17673.99536,17736.34266,2,19078.04,20570.519,8671.74375,16.38861829,0.455146551,0
2,2-Machines4-Work1-DSTL4500-SLB70,4,27,1,4500,70,17673.99536,17736.34266,2,19078.04,20570.519,8671.74375,16.38861829,0.39081502,0
2,2-Machines4-Work1-DSTL6000-SLB70,4,27,1,6000,70,17673.99536,17736.34266,2,19078.04,20570.519,8671.74375,16.38861829,0.447563887,0
2,2-Machines4-Work3-DSTL3000-SLB70,4,27,3,3000,70,17673.99536,17736.34266,2,19078.04,19078.04,8632.84625,7.944126998,0.487923622,0
2,2-Machines4-Work3-DSTL4500-SLB70,4,27,3,4500,70,17673.99536,17736.34266,2,19078.04,19078.04,8632.84625,7.944126998,0.500739336,0
2,2-Machines4-Work3-DSTL6000-SLB70,4,27,3,6000,70,17673.99536,17736.34266,2,19078.04,19078.04,8632.84625,7.944126998,0.477637053,0
2,2-Machines4-Work5-DSTL3000-SLB70,4,27,5,3000,70,17673.99536,17736.34266,2,19078.04,19078.04,8632.84625,7.944126998,0.5181849,0
2,2-Machines4-Work5-DSTL4500-SLB70,4,27,5,4500,70,17673.99536,17736.34266,2,19078.04,19078.04,8632.84625,7.944126998,0.524631023,0
2,2-Machines4-Work5-DSTL6000-SLB70,4,27,5,6000,70,17673.99536,17736.34266,2,19078.04,19078.04,8632.84625,7.944126998,0.56200695,0
2,2-Machines6-Work1-DSTL3000-SLB30,6,27,1,3000,30,11566.23816,11586.58338,5,12787.48,13642.189,8518.3225,17.94836676,1.474975586,0
2,2-Machines6-Work1-DSTL4500-SLB30,6,27,1,4500,30,11566.23816,11586.58338,5,12787.48,13642.189,8518.3225,17.94836676,1.403835058,0
2,2-Machines6-Work1-DSTL6000-SLB30,6,27,1,6000,30,11566.23816,11586.58338,5,12787.48,13642.189,8518.3225,17.94836676,1.441985369,0
2,2-Machines6-Work3-DSTL3000-SLB30,6,27,3,3000,30,11566.23816,11586.58338,5,12787.48,12787.48,8465.50375,10.55867801,1.557022333,0
2,2-Machines6-Work3-DSTL4500-SLB30,6,27,3,4500,30,11566.23816,11586.58338,5,12787.48,12787.48,8465.50375,10.55867801,1.59189105,0
2,2-Machines6-Work3-DSTL6000-SLB30,6,27,3,6000,30,11566.23816,11586.58338,5,12787.48,12787.48,8465.50375,10.55867801,1.516488552,0
2,2-Machines6-Work5-DSTL3000-SLB30,6,27,5,3000,30,11566.23816,11586.58338,5,12787.48,12787.48,8465.50375,10.55867801,1.68679738,0
2,2-Machines6-Work5-DSTL4500-SLB30,6,27,5,4500,30,11566.23816,11586.58338,5,12787.48,12787.48,8465.50375,10.55867801,1.703604221,0
2,2-Machines6-Work5-DSTL6000-SLB30,6,27,5,6000,30,11566.23816,11586.58338,5,12787.48,12787.48,8465.50375,10.55867801,1.700966358,0
2,2-Machines6-Work1-DSTL3000-SLB50,6,27,1,3000,50,11567.05931,11578.63,4,12598.63,13642.189,8518.3225,17.9399935,1.301355362,0
2,2-Machines6-Work1-DSTL4500-SLB50,6,27,1,4500,50,11567.05931,11578.63,4,12598.63,13642.189,8518.3225,17.9399935,1.236542225,0
